business_name,registration_id,status,filing_date,agent_name,agent_address,agent_email
Quantum Consulting LLC,SD0000046,Active,2021-11-08,Sara Wilson,8738 Hill Ave,sara.wilson.7aa506f4-1597-4411-bb85-500687bb1da7@example.com
Prime Mart LLC,SD0000065,Active,1997-04-27,Maria Taylor,4791 Elm Ave,maria.taylor.37096889-e260-417a-a4db-38cfab58e4ea@example.com
Golden Market LLC,SD0000055,Active,2020-10-10,Ezra Davis,8571 Hill Ave,ezra.davis.8619bc6b-894e-4ce9-bcce-ebb67db35f30@example.com
Green Services LLC,SD0000012,Active,2010-02-25,Maria Miller,8655 Hill Ave,maria.miller.82e75986-6976-48b6-9038-d86e79de1268@example.com
Sky Solutions LLC,SD0000067,Active,2004-10-19,Dave Wilson,5456 Hill Ave,dave.wilson.f02b78b3-7a2d-42c4-a74f-a4198784844c@example.com
Apex Ventures LLC,SD0000080,Active,2025-09-11,Jen Anderson,1921 Maple Ave,jen.anderson.fe017d7a-c2cb-4571-8a55-2fa8a9e6bf86@example.com
Pine Foods LLC,SD0000020,Active,2011-09-06,Maria Johnson,9759 Broadway Ave,maria.johnson.b4a4c59f-1c88-4df3-8c08-74c9a3202896@example.com
Rapid Ventures LLC,SD0000069,Active,2025-10-11,Dave Smith,2371 Hill Ave,dave.smith.1f4a7c1a-3684-473c-ba40-2f03a7cf8b46@example.com
Summit Industries LLC,SD0000042,Dissolved,2013-10-22,Maria Taylor,2987 Broadway Ave,maria.taylor.021e781b-c37e-4bd6-8e86-d42544392e50@example.com
Cedar Labs LLC,SD0000077,Active,2018-03-03,Maria Davis,2175 Elm Ave,maria.davis.8d0b9d94-3bbc-4bd9-a9d2-bc048d3e10bd@example.com
Pine Pharmacy LLC,SD0000039,Active,2002-07-23,Ezra Anderson,5431 Hill Ave,ezra.anderson.2c411b63-ed66-4857-ab29-d2322dcb0c3d@example.com
Golden Services LLC,SD0000005,Active,2009-11-27,Gian Davis,4384 Broadway Ave,gian.davis.3786dba4-ca53-4934-9c5e-259aeec12a4f@example.com
Green Labs LLC,SD0000004,Pending,2007-02-18,John Smith,3743 Elm Ave,john.smith.9100c151-afe3-4427-8f10-b76ff4432442@example.com
Apex Farms LLC,SD0000021,Dissolved,2013-04-19,Gian Miller,3356 Elm Ave,gian.miller.31e409a6-6f12-4a67-9fd3-de828aeb2deb@example.com
Bright Mart LLC,SD0000024,Dissolved,1999-05-04,Jen Miller,9919 Maple Ave,jen.miller.5c86d47e-083c-415c-b4d6-dfc4e879a9ad@example.com
Apex Works LLC,SD0000002,Active,2017-11-23,Jen Smith,2625 Hill Ave,jen.smith.66562b08-0bed-40b1-a1d0-92a3771cb516@example.com
Apex Builders LLC,SD0000036,Inactive,2022-02-25,Dave Smith,9142 Maple Ave,dave.smith.6291687e-3d9f-4c86-9d6f-e1b64faaf497@example.com
